episode,rev_per_kwh,avg_util,avg_wait,tariff_mult
1,17.050133776751824,0.30113641108797656,1.0473214860629951,1.0
2,17.035805042339142,0.30527367390156374,1.0266849761619976,1.0
3,17.18609788454073,0.3055304057379612,1.0189782275822823,1.0
4,17.001524647866063,0.3014157946502755,1.0160531202295762,1.0
5,16.78409989170941,0.30024540356219576,0.9878693586507207,1.0
6,16.91922188697806,0.29706040435896774,1.0256526619528867,1.0
7,16.859355626448075,0.2957094581738468,1.0456806906794125,1.0
8,17.081385038971703,0.29847044927398547,0.9848727515767121,1.0
9,17.08794882334514,0.2972280235778309,0.9873478437525353,1.0
10,16.981269258020983,0.3009403465493143,1.0015338403051157,1.0
11,17.349261415805287,0.29706272802701406,1.0040977708062226,1.0
12,17.19485605156457,0.295270710760108,0.9769508423015608,1.0
13,16.777578422787276,0.3003690088559507,0.9718039943230126,1.0
14,17.182353554988694,0.30035299941940813,0.9987950809247806,1.0
15,17.026472640271137,0.2991349613463787,0.9627972754936327,1.0
16,17.002597005585702,0.2967501776423528,1.0105101598253596,1.0
17,16.807291424545408,0.30103602763420545,0.9928493946888771,1.0
18,16.97026377442407,0.2981532253542664,0.9956012410777986,1.0
19,17.211548718957538,0.30384955256591545,0.9635833648365284,1.0
20,17.12160084242079,0.29852070497252675,0.9968786178434283,1.0
21,17.044117107830825,0.2978728575245505,0.9522410158208607,1.0
22,17.193899454309673,0.29503672797960895,0.9984925158723976,1.0
23,17.22260514225449,0.2995655139896103,0.975600435801934,1.0
24,17.126339175017094,0.2973050754575111,0.9961284466303005,1.0
25,17.30688100918308,0.29977425031949184,0.9099728132191864,1.0
26,17.08529614766685,0.3032371644934325,0.9533875682916639,1.0
27,16.774158376861134,0.3003485975820736,0.951974277544231,1.0
28,17.294032447382637,0.30144200476197863,0.9430023109355083,1.0
29,16.997139410753878,0.29681158006435887,0.9686757576550228,1.0
30,16.992993563346648,0.3013925589145704,0.9576330639632484,1.0
31,17.217808969111783,0.3004978646733238,0.9303266534234342,1.0
32,17.01375062418217,0.2988309058895406,0.912097416338339,1.0
33,17.11177976459912,0.30135803558418994,0.9384699844338305,1.0
34,16.86037048908472,0.299267205942431,0.926954808845674,1.0
35,16.952389136629183,0.29886669640982455,0.9291420010676611,1.0
36,17.35571323881415,0.3018857579031898,0.932859271557618,1.0
37,17.061673092887794,0.30133175603882273,0.8879922909950004,1.0
38,17.081929138364014,0.30022749897413475,0.972632557550687,1.0
39,17.11818133484305,0.2995961106168072,0.9196734799068764,1.0
40,17.244427282290403,0.2957228423254535,0.9324063759547168,1.0
41,16.936650368514087,0.3035936822641038,0.9424236015197033,1.0
42,17.161141677423483,0.2948541502247625,0.9551768278171808,1.0
43,16.98822308053317,0.2965314091754089,0.910360742602734,1.0
44,16.840622851933812,0.2985116518594669,0.9067389747971017,1.0
45,17.144315857809154,0.2963083396210272,0.8839792306163052,1.0
46,16.955843625983587,0.30678929209600175,0.8929264849768678,1.0
47,16.888756598989076,0.3038756233454103,0.9009169139930638,1.0
48,16.832318387890126,0.3058821254930613,0.8970603924716273,1.0
49,17.190768930461054,0.30172508565292533,0.8656287010834196,1.0
50,17.151841361157135,0.2954357280235945,0.893307408765645,1.0
51,17.125571984359294,0.3017515258773152,0.8707672208694114,1.0
52,17.11762025054969,0.3017105692645756,0.8670806869404539,1.0
53,17.144788944311806,0.3082766525205106,0.8545416453569282,1.0
54,16.927566382261084,0.30347176891046695,0.8911094073758302,1.0
55,16.95072091166257,0.30551193679196126,0.8916352378858676,1.0
56,17.197186910034645,0.30256067818367766,0.9073035749540602,1.0
57,16.96087208800199,0.29996000201192013,0.8485774267084708,1.0
58,17.062421882863646,0.2977103133360699,0.8701907547973141,1.0
59,17.198119253251313,0.3021123176732517,0.8606277531385393,1.0
60,17.03439786753036,0.30685169078456087,0.9117710986327737,1.0
61,16.945577385673758,0.3035722238669917,0.832949865339759,1.0
62,17.040686227957462,0.30303144413690436,0.8656477251828232,1.0
63,17.06333593547796,0.30302650497422584,0.8314318409396131,1.0
64,17.007337656186575,0.29510616557718816,0.8624956911874507,1.0
65,16.88750870880998,0.30205392945245246,0.8458313338180048,1.0
66,16.941845536806753,0.302770823994847,0.8424422174198919,1.0
67,16.903033234182473,0.3014943893497156,0.8435234625079469,1.0
68,17.236991091953502,0.3035366925814046,0.8544437563416794,1.0
69,16.933914276110087,0.29581487700410325,0.8406684206451543,1.0
70,17.15189981166341,0.3034126982795805,0.9044223451140757,1.0
71,17.245032131364738,0.3036731165187043,0.8434477505708453,1.0
72,17.02746152526174,0.3040271194811548,0.8365470997108466,1.0
73,17.039283747566937,0.29836225361778135,0.8086604443443992,1.0
74,17.422059950199106,0.3018130510334769,0.7780224114491463,1.0
75,16.83300841113978,0.3042625952374297,0.8029290779851926,1.0
76,17.08461242130269,0.3059053568638011,0.7878128197423951,1.0
77,17.176964707398717,0.2987203396388918,0.7917603826666385,1.0
78,17.081915447664233,0.3024793888342595,0.7903357083488649,1.0
79,17.17022215164651,0.3102213308332329,0.7598648635678291,1.0
80,16.975920955203694,0.3024233717350093,0.8144163819969058,1.0
81,17.05803308531906,0.29853947152220084,0.8044674608805904,1.0
82,16.895253717100875,0.30520457525261213,0.7846776905841623,1.0
83,16.977353419893333,0.2998737732312878,0.8236768001066032,1.0
84,16.88627483824927,0.3034254813197755,0.8037249542420768,1.0
85,17.23033184710235,0.31032617926398215,0.751980315981901,1.0
86,17.26555335701781,0.2999326181844666,0.7652143259886056,1.0
87,17.19176641927437,0.30367683218851654,0.7578291058694195,1.0
88,16.589435836869754,0.30169545305168444,0.7528799624742954,1.0
89,16.888513087205528,0.300955281870359,0.803015941379614,1.0
90,17.009728518115857,0.2962769889640891,0.7699825268467031,1.0
